adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,600000,"[{'id': 10752, 'name': 'War'}]",,29582,tt0079652,en,The Odd Angry Shot,"A group of Australian SAS regiment soldiers are deployed to Vietnam around 1967/8 and encounter the realities of war, from the numbing boredom of camp life and long range patrols, raids and ambushes where nothing happens, to the the terror of enduring mortar barrages from an unseen enemy. Men die and are crippled in combat by firefights and booby traps, soldiers kill and capture the enemy, gather intelligence and retake ground only to cede it again whilst battling against the bureaucracy and obstinacy of the conventional military hierarchy. In the end they return to civilization, forever changed by their experiences but glad to return to the life they once knew.",1.092844,/9DtpPFxI4pI7A6toqpuPJt1AoXh.jpg,"[{'name': 'The Australian Film Commission', 'id': 5186}, {'name': 'New South Wales Film Corp.', 'id': 14590}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",1979-03-01,0.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Odd Angry Shot,False,7.3,6.0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,403450,tt5263116,it,In guerra per amore,"It's 1943 and World War II is raging in Europe. In New York, Arturo and Flora the daughter of a restaurant owner are in love, but she is promised in marriage to the son of a Mafia boss. There is a way around this, but to be able to marry Flora, Arturo needs to get permission from her father, who lives in a village in Sicily. Arturo doesn't have any money, so the only way he can get to Sicily is to enlist in the U.S. Army, which is preparing for a landing on the island.",4.310218,/dDFcYbX6FCttWwdGR5vCr0Uerfa.jpg,"[{'name': 'Rai Cinema', 'id': 2683}, {'name': 'Wildside', 'id': 21246}, {'name': 'Ministero per i Beni e le Attività Culturali (MiBAC)', 'id': 29223}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2016-10-27,0.0,99.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,At War with Love,False,7.8,116.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",,27052,tt0108504,nl,Voor een Verloren Soldaat,"The story of a romantic relationship between a Canadian soldier and a child set in the Netherlands near the end of WWII. Told in flashback from the present day, the child, now a man, is still seeking his lost soldier.",1.593471,/qEuZhNnG3fPkDleW3aZQTyf31uX.jpg,[],"[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",1992-05-22,0.0,92.0,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,For a Lost Soldier,False,5.3,13.0
False,"{'id': 409138, 'name': 'Yossi Collection', 'poster_path': '/y30egmXtXggkHA2yfcDQcmM9D90.jpg', 'backdrop_path': '/w5u8mlzQqpVWcZlCgHzgzHOwGm.jpg'}",0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,17614,tt0334754,he,יוסי וג'אגר,"A sociological study of two men in the Israeli army who are lovers. The others in the unit react to their situation, suspecting, but not always understanding. One will leave the military soon, a few months away, as a snowy and desolete outpost is guarded from attack.",1.948701,/8w6YWmbvgwpqgtxl1CC8eDexr0d.jpg,"[{'name': 'Lama Films', 'id': 15}, {'name': 'Lama Productions', 'id': 91}, {'name': 'Israel Cable Programming (ICP)', 'id': 93095}]","[{'iso_3166_1': 'IL', 'name': 'Israel'}]",2002-08-28,0.0,65.0,"[{'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,Two soldiers and a love that lasts forever...,Yossi & Jagger,False,6.7,28.0
False,,24000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,75926,tt0086798,en,Shaka Zulu,"Framed around Queen Victoria's decision on England's political stance towards the Zulu Nation, this mini-series details King Shaka's rise and fall with mythic detail. Prophecy is mixed with recorded fact regarding Shaka's birth, exile, innovations in warfare, assumption of the throne, building of the Zulu Empire, first contact with Europe and the events that lead to his downfall.",0.661658,/ftw95S2pqrX79ihF73ynVqymLoG.jpg,"[{'name': 'Harmony Gold', 'id': 7901}, {'name': 'TMG', 'id': 7902}]",[],1986-11-24,0.0,523.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Last Great Warrior,Shaka Zulu,False,5.0,10.0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",,263855,tt2093995,en,Fort Bliss,"After returning home from an extended tour in Afghanistan, a decorated U.S. Army medic and single mother struggles to rebuild her relationship with her young son.",2.244264,/lDMM4Wd8BkPHeJ7UZ8EkqXHOKa6.jpg,"[{'name': 'National Picture Show Entertainment', 'id': 39703}, {'name': 'Yeniceri Produksiyon A.S.', 'id': 39704}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'TR', 'name': 'Turkey'}]",2014-09-05,0.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Soldier. Mother. So many expectations.,Fort Bliss,False,6.3,29.0
False,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",http://www.rapeofeuropa.com/vXEhiFK8TLg,22905,tt0997088,en,The Rape of Europa,"World War II was not just the most destructive conflict in humanity, it was also the greatest theft in history: lives, families, communities, property, culture and heritage were all stolen. The story of Nazi Germany's plundering of Europe's great works of art during World War II and Allied efforts to minimize the damage.",1.275477,/8fzUE7GieCSwBvJFZdFQElLJGx7.jpg,"[{'name': 'Actual Films', 'id': 18073}, {'name': 'Agon Arts and Entertainment', 'id': 18074}, {'name': 'Oregon Public Broadcasting', 'id': 18075}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-01-01,0.0,117.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Imagine The World Without Our Masterpieces,The Rape of Europa,False,7.4,10.0
False,"{'id': 99635, 'name': 'A Better Tomorrow Collection', 'poster_path': '/b7UQJjwIXLtKejp5FvspTqRh9VP.jpg', 'backdrop_path': '/mLtlXvBFG6Q2BZHkeciWO3BYfhH.jpg'}",0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,41244,tt0098691,cn,Ying hung boon sik III jik yeung ji gor,"The year is 1974. A young Hong Kong Chinese, Mark (Chow Yun-Fat), travels to Saigon to make his fortune. There, he encounters a mysterious femme fatale, the lovely Kit. As he becomes more involved in her various underworld deals, a tragic romance develops. On the eve of the outbreak of war, Kit's past returns to endanger her, and Mark must risk everything for the one true love of his life...",1.833422,/oFebdRYG3dMIeQ6GFfRTBFF28FW.jpg,"[{'name': 'Film Workshop', 'id': 3618}, {'name': 'Golden Princess Film Production Ltd.', 'id': 44499}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1989-10-20,0.0,114.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'vi', 'name': 'Tiếng Việt'}]",Released,,A Better Tomorrow III: Love and Death in Saigon,False,6.2,14.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,295841,tt0093345,en,Killer Instinct,"For America, the Vietnam War is over. Johnny doesn't see it that way. This Special Forces soldier battles vicious Vietcong, a sadistic Russian advisor and his own peacenik girlfriend as he embarks on a deadly mission behind enemy lines.",0.40977,/k5P0xGe7nhw3PYI0J6Ech69sobx.jpg,"[{'name': 'Eastern Film Management Corporation', 'id': 49266}]","[{'iso_3166_1': 'PH', 'name': 'Philippines'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-01-01,0.0,88.0,[],Released,,Killer Instinct,False,6.0,1.0
False,,18000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",http://www.redbaron-themovie.com/index_en.html,8349,tt0365675,de,Der rote Baron,"Richthofen goes off to war like thousands of other men. As fighter pilots, they become cult heroes for the soldiers on the battlefields. Marked by sportsmanlike conduct, technical exactitude and knightly propriety, they have their own code of honour. Before long he begins to understand that his hero status is deceptive. His love for Kate, a nurse, opens his eyes to the brutality of war.",4.918419,/hG7aozh7UJ6EgO0XpQPZGiN9jLu.jpg,"[{'name': 'Niama Film', 'id': 22858}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2008-03-29,40239.0,120.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The Red Baron,The Red Baron,False,6.4,80.0
False,,120000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",http://www.hbo.com/the-pacific/index.html,189197,tt0374463,en,The Pacific,"A 10-part mini-series from the creators of ""Band of Brothers"" telling the intertwined stories of three Marines during America's battle with the Japanese in the Pacific during World War II.",6.092242,/xV7FKNqOwnO3aJSiRM8WCrwdRS8.jpg,"[{'name': 'Playtone', 'id': 4171}, {'name': 'HBO', 'id': 6068}, {'name': 'DreamWorks Television', 'id': 15258}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-03-15,0.0,540.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Hell was an ocean away,The Pacific,False,7.9,318.0
